MSA,NUM,PercentbyFemale,Percent by fertility,HighSchool,Bachelor,MedianIncome,Poverty,Unmarried,White,Black,AmericanIndian,Asian
48700,12,0.000202184,0.00796284,85.9,18.8,42689,9.4,48.2,0.929976971,0.042603286,0.00190761,0.005327559
48900,18,0.000100464,0.004078858,87.2,29.5,46980,9.6,47.8,0.800579077,0.145487265,0.004008331,0.009415716
49020,4,6.32E-05,0.002336449,81.4,21.7,51188,7.3,47,0.905720119,0.048029223,0.002927055,0.012808856
49180,17,6.95E-05,0.002734878,85,26.7,45888,11,48,0.710194872,0.202839705,0.002478024,0.014081233
49340,20,4.97E-05,0.001993024,88.6,32.9,64152,6.9,49,0.879004363,0.037789747,0.001788206,0.038610604
49420,1,8.45E-06,0.000223214,70.8,15.6,42877,16.8,50,0.72505517,0.008624261,0.041760026,0.008873688
49500,0,0,0,62.3,15.6,13911,53.7,55.5,0.90417239,0.02240374,0.003774889,6.37E-05
49620,49,0.000225821,0.00995935,86.8,21.5,57494,6.3,43.4,0.897345711,0.051728849,0.001873066,0.012564956
49660,33,0.000112176,0.005059022,87,18.6,41474,11.5,50.4,0.862600638,0.109046724,0.001636435,0.006217055
49700,9,0.000109496,0.003077975,77.7,16.1,49190,12.4,47,0.673866812,0.019917365,0.015536517,0.105766193
49740,0,0,0,71.6,13.3,40340,17.6,42.1,0.753870863,0.01980832,0.013667426,0.010911897
