MSA,NUM,PercentbyFemale,HighSchool,Bachelor,MedianIncome,Poverty,Insurance,Unmarried,White,Black,AmericanIndian,Asian
21300,2,4.49E-05,88.8,21.5,48804,12.4,98.61,51.2,0.891016697,0.061748954,0.00385931,0.012230523
21340,20,4.78E-05,73.9,20.6,40062,20.2,100.56,52.1,0.809020969,0.032504541,0.005908803,0.010729916
21500,9,6.32E-05,89.9,24.8,45202,12,98.82,52.9,0.883273088,0.070134537,0.002452606,0.012523261
21660,2,1.11E-05,91.1,27.7,42931,12.1,100.2,54.2,0.887883367,0.009496805,0.010750406,0.024523037
21780,49,0.000305439,89.4,22.4,47810,10.2,98.93,48.3,0.893976544,0.06654674,0.002349462,0.008904908
21820,0,0,93.1,29,69223,6.2,98.73,49.4,0.777094145,0.046393529,0.066128771,0.024924992
22020,4,3.76E-05,94.3,35.3,52547,6.8,101.3,51.7,0.916717357,0.022651344,0.012507136,0.020363282
22140,8,1.24E-04,81.6,15.2,48196,17.6,98.34,52.2,0.535695383,0.006981849,0.373221458,0.003455898
22180,4,2.10E-05,88.5,22,45252,14.6,98.16,51.8,0.512110549,0.356767105,0.020519043,0.021147287
22220,19,7.98E-05,83.8,27.1,47356,11.6,101.21,44.9,0.837098792,0.021776149,0.012936974,0.026215782
22380,2,2.94E-05,87.6,31.1,49555,15.5,100.72,57.8,0.621031937,0.01369487,0.270855744,0.01431062
22420,22,1.01E-04,88.7,18.9,42089,16.4,98.71,54.9,0.747273913,0.204004032,0.00482002,0.009324557
22500,28,0.000256843,81.4,19.9,40261,17.2,99.42,54.9,0.558027404,0.411463067,0.001647719,0.008243454
22520,2,2.62E-05,83.7,19.8,41616,13,99.11,47.2,0.844870244,0.123747638,0.00505023,0.006525197
22540,3,5.80E-05,90.3,20,53820,6.8,97.99,45,0.938750418,0.011164008,0.004278717,0.010278756
22660,10,6.51E-05,94.4,43.8,58626,7.3,101.23,48.2,0.91047031,0.008469643,0.005444771,0.018894826
22900,11,7.74E-05,81.8,16.1,38730,16.4,99.01,47.4,0.810322309,0.035881496,0.043036385,0.024783391
23060,21,9.81E-05,89.2,24.7,49573,10.7,99.57,48.5,0.823858528,0.102600732,0.003038361,0.023908611
23420,61,1.30E-04,73.1,19.6,45563,20.9,100.6,54.6,0.596544293,0.050861798,0.010300073,0.096114857
23460,4,7.43E-05,81.8,14.8,38013,15.1,98.62,49.6,0.81821408,0.152138884,0.004124305,0.006541339
23540,12,8.76E-05,90.4,38.4,41826,13.4,100.23,61.8,0.714130414,0.191805522,0.00227916,0.052023316
23580,9,9.85E-05,78.8,22.8,50853,14.2,100.87,46.3,0.820051301,0.074622213,0.004080048,0.018042999
