geoid,name,population
32820,"Memphis, TN-MS-AR",1344127
31140,"Louisville/Jefferson County, KY-IN",1278413
39580,"Raleigh, NC",1273568
40060,"Richmond, VA",1271334
35380,"New Orleans-Metairie, LA",1262888
25540,"Hartford-West Hartford-East Hartford, CT",1211324
41620,"Salt Lake City, UT",1170266
13820,"Birmingham-Hoover, AL",1145647
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1135230
40380,"Rochester, NY",1081954
24340,"Grand Rapids-Wyoming, MI",1038583
46060,"Tucson, AZ",1010025
46520,"Urban Honolulu, HI",998714
46140,"Tulsa, OK",981005
23420,"Fresno, CA",974861
14860,"Bridgeport-Stamford-Norwalk, CT",948053
49340,"Worcester, MA-CT",935536
36540,"Omaha-Council Bluffs, NE-IA",915312
10740,"Albuquerque, NM",907679
12540,"Bakersfield, CA",882176
10580,"Albany-Schenectady-Troy, NY",881830
24860,"Greenville-Anderson-Mauldin, SC",874869
28940,"Knoxville, TN",861424
35300,"New Haven-Milford, CT",859470
37100,"Oxnard-Thousand Oaks-Ventura, CA",850536
32580,"McAllen-Edinburg-Mission, TX",842304
21340,"El Paso, TX",838972
10900,"Allentown-Bethlehem-Easton, PA-NJ",832327
12940,"Baton Rouge, LA",830480
17900,"Columbia, SC",810068
19380,"Dayton, OH",800909
35840,"North Port-Sarasota-Bradenton, FL",768918
24660,"Greensboro-High Point, NC",752157
16700,"Charleston-North Charleston, SC",744526
30780,"Little Rock-North Little Rock-Conway, AR",731612
44700,"Stockton-Lodi, CA",726106
10420,"Akron, OH",704243
15980,"Cape Coral-Fort Myers, FL",701982
17820,"Colorado Springs, CO",697856
14260,"Boise City, ID",676909
45060,"Syracuse, NY",660458
49180,"Winston-Salem, NC",659330
29460,"Lakeland-Winter Haven, FL",650092
45780,"Toledo, OH",646833
48620,"Wichita, KS",644610
36260,"Ogden-Clearfield, UT",642850
31540,"Madison, WI",641385
44140,"Springfield, MA",631982
19660,"Deltona-Daytona Beach-Ormond Beach, FL",623279
19780,"Des Moines-West Des Moines, IA",622899
12260,"Augusta-Richmond County, GA-SC",590146
39340,"Provo-Orem, UT",585799
27140,"Jackson, MS",578777
37340,"Palm Bay-Melbourne-Titusville, FL",568088
25420,"Harrisburg-Carlisle, PA",565006
42540,"Scranton-Wilkes-Barre-Hazleton, PA",558166
20500,"Durham-Chapel Hill, NC",552493
49660,"Youngstown-Warren-Boardman, OH-PA",549885
44060,"Spokane-Spokane Valley, WA",547924
16860,"Chattanooga, TN-GA",547776
33700,"Modesto, CA",538388
29540,"Lancaster, PA",536624
38860,"Portland-South Portland, ME",526295
22220,"Fayetteville-Springdale-Rogers, AR-MO",513559
42220,"Santa Rosa, CA",502146
30460,"Lexington-Fayette, KY",500535
29180,"Lafayette, LA",490488
37860,"Pensacola-Ferry Pass-Brent, FL",478043
29620,"Lansing-East Lansing, MI",472276
47300,"Visalia-Porterville, CA",459863
44180,"Springfield, MO",456456
38940,"Port St. Lucie, FL",454846
18580,"Corpus Christi, TX",452422
39900,"Reno, NV",450890
11700,"Asheville, NC",446840
42200,"Santa Maria-Santa Barbara, CA",444769
26620,"Huntsville, AL",444752
43340,"Shreveport-Bossier City, LA",443708
49620,"York-Hanover, PA",442867
46700,"Vallejo-Fairfield, CA",436092
41500,"Salinas, CA",433898
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",431964
28660,"Killeen-Temple, TX",431032
23060,"Fort Wayne, IN",429820
15180,"Brownsville-Harlingen, TX",422156
33660,"Mobile, AL",415395
39740,"Reading, PA",415271
22420,"Flint, MI",410849
41420,"Salem, OR",410091
13140,"Beaumont-Port Arthur, TX",408419
31700,"Manchester-Nashua, NH",406678
15940,"Canton-Massillon, OH",402976
11260,"Anchorage, AK",399790
41540,"Salisbury, MD-DE",395300
25060,"Gulfport-Biloxi-Pascagoula, MS",389255
19340,"Davenport-Moline-Rock Island, IA-IL",383606
42340,"Savannah, GA",379199
37900,"Peoria, IL",378018
45220,"Tallahassee, FL",377924
22180,"Fayetteville, NC",376509
33860,"Montgomery, AL",373792
45940,"Trenton, NJ",371398
21660,"Eugene, OR",362895
25860,"Hickory-Lenoir-Morganton, NC",362510
26580,"Huntington-Ashland, WV-KY-OH",361580
11460,"Ann Arbor, MI",358880
34940,"Naples-Immokalee-Marco Island, FL",357305
36100,"Ocala, FL",343254
40420,"Rockford, IL",340663
28020,"Kalamazoo-Portage, MI",335340
22660,"Fort Collins, CO",333577
38660,"Ponce, PR",325929
43900,"Spartanburg, SC",325079
30700,"Lincoln, NE",323578
10380,"Aguadilla-Isabela, PR",322641
43780,"South Bend-Mishawaka, IN-MI",320098
14500,"Boulder, CO",319372
24580,"Green Bay, WI",316519
21780,"Evansville, IN-KY",315693
40220,"Roanoke, VA",314560
17980,"Columbus, GA-AL",313749
31180,"Lubbock, TX",311154
28700,"Kingsport-Bristol-Bristol, TN-VA",307120
46540,"Utica-Rome, NY",295600
24540,"Greeley, CO",285174
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",281401
17300,"Clarksville, TN-KY",281021
22900,"Fort Smith, AR-OK",280241
20260,"Duluth, MN-WI",279601
28420,"Kennewick-Richland, WA",279116
21500,"Erie, PA",278045
48900,"Wilmington, NC",277969
23540,"Gainesville, FL",277163
12100,"Atlantic City-Hammonton, NJ",274219
42100,"Santa Cruz-Watsonville, CA",274146
35980,"Norwich-New London, CT",271863
29700,"Laredo, TX",269721
36500,"Olympia-Tumwater, WA",269536
32900,"Merced, CA",268455
16300,"Cedar Rapids, IA",266040
47380,"Waco, TX",262813
18880,"Crestview-Fort Walton Beach-Destin, FL",262172
11100,"Amarillo, TX",262056
25180,"Hagerstown-Martinsburg, MD-WV",261486
14740,"Bremerton-Silverdale, WA",260131
31340,"Lynchburg, VA",259950
43620,"Sioux Falls, SD",251854
17780,"College Station-Bryan, TX",249156
49420,"Yakima, WA",248830
13780,"Binghamton, NY",246020
46220,"Tuscaloosa, AL",239908
16580,"Champaign-Urbana, IL",238984
22020,"Fargo, ND-MN",233836
45820,"Topeka, KS",233791
11540,"Appleton, WI",233007
31420,"Macon, GA",230096
16820,"Charlottesville, VA",229514
17020,"Chico, CA",225411
46340,"Tyler, TX",222936
39140,"Prescott, AZ",222255
16620,"Charleston, WV",220614
30980,"Longview, TX",217781
15540,"Burlington-South Burlington, VT",214363
29200,"Lafayette-West Lafayette, IN",214363
12700,"Barnstable Town, MA",214333
29740,"Las Cruces, NM",214295
40340,"Rochester, MN",213873
32780,"Medford, OR",212567
26380,"Houma-Thibodaux, LA",212297
13380,"Bellingham, WA",212284
44100,"Springfield, IL",211156
25940,"Hilton Head Island-Bluffton-Beaufort, SC",207413
22500,"Florence, SC",206448
29340,"Lake Charles, LA",205605
29420,"Lake Havasu City-Kingman, AZ",204737
49740,"Yuma, AZ",204275
19300,"Daphne-Fairhope-Foley, AL",203709
21140,"Elkhart-Goshen, IN",203474
12020,"Athens-Clarke County, GA",203189
27740,"Johnson City, TN",200648
37460,"Panama City, FL",197506
39540,"Racine, WI",195080
41060,"St. Cloud, MN",194418
23580,"Gainesville, GA",193535
40980,"Saginaw, MI",193307
11640,"Arecibo, PR",191864
14010,"Bloomington, IL",189413
47580,"Warner Robins, GA",188149
